Pose	Type	Depicts		
penguin prop	prop			
bull prop	prop			
sundae prop	prop			
meteor prop	prop			
cow prop	prop			
brundlefly prop	prop			
golden cat prop	prop			
silverback prop	prop			
frozen dinosaur prop	prop			
spider prop	prop			
wasps prop	prop			
cerberus eating prop	prop			
clock prop	prop			
mouse prop	prop			
stephen hawking	figure			
horse prop	prop			
brown horse prop	prop			
donkey prop	prop			
pigface prop	prop			
killing for	pose	going on a killing spree		
shooting	pose	shhoting a gun, waving a gun, pointing a gun		
writing	pose	writing a letter, using a tablet		
accusing	pose	making accusations, pointing the finger of blame, threatening legal consequences		
angry	pose	expressing anger, reacting angrily, angrily shaking a fist 		
arresting	pose	arresting a suspect, putting someone under arrest		
attacking	pose	launching an attack, attacking an enemy, brandishing a knife, stabbing wildly		
banishing	pose	expelling a miscreant, saying good riddance		
biting	pose	baring one's teeth, snarling menacingly, going for the jugular		
bullying	pose	being a bully, charging like a bull, charging angrily		
casting off	pose	breaking the chain, freeing oneself from bondage, casting off a heavy chain		
charging	pose	charging in, charging angrily, reacting angrily		
cold shoulder	pose	giving the cold shoulder, showing no interest, being indifferent, affecting disdain		
condescending	pose	being condescending, rolling one's eyes, adopting a patronizing attitude		
critical	pose	being critical, expressing criticism, giving the thumbs down, expressing disapproval		
critical about	pose	being critical, expressing criticism, giving the thumbs down, expressing disapproval		
decapitating	pose	wielding a giant axe, going in for the kill, reacting violently		
defensive	pose	adopting a defensive attitude, being defensive, fearing the worst, reacting with shock, backing down		
defiant	pose	expressing defiance, putting up resistence, refusing to back down, resisting defiantly, shaking their fists		
denouncing	pose	denouncing a rival, burning with rage, inflamed with anger, declaring war, pushing the hardline		
destructive	pose	being destructive, causing destruction, wielding a giant hammer, crushing the opposition, delivering an onslaught of violence		
disagreeing	pose	openly disagreeing, expressing skepticism, holding out		
disgusted	pose	expressing disgust, reacting with disgust, refusing to agree		
eluding	pose	eluding capture, hiding out, keeping a low profile		
escaping	pose	making a break for it, escaping from captivity, getting out of jail, breaking free		
fighting	pose	putting up a fight, reacting with aggression, threatening violence		
fighting with beard	pose			
haughty	pose	winning the championship, declaring victory, crowing triumphantly		
hiding	pose	hiding out, cowering in fear		
hindering	pose	being a hindrance, saying no, refusing to join		
hitting	pose	lashing out, throwing a punch, starting a fight		
slapping	pose	lashing out, slapping down a rival		
staking	pose	staking a vampire, slaying a demon		
poking	pose	pointing the finger, pointing the finger of blame		
kicking	pose	kicking like a mule, throwing a karate kick, doing kung fu		
hunting	pose	hunting prey, leading a search party, leading a pack of dogs		
indifferent	pose	expressing indifference, showing no interest, showing a deaf ear		
pushing	pose	rushing in, pushing aggressively		
rebellious	pose	being a rebel, launching a rebellion, playing with fire, playing with matches		
rent an angry mob	pose	rabble rousing, leading an angry mob		
running away	pose	running away, fleeing the scene, making a hasty retreat		
running off	pose	beating a hasty retreat, running off		
satirizing	pose	poking fun, telling a joke, engaging in mockery		
savaging	pose	savaging a rival, attacking with knives, reacting fiercely		
scary	pose	laughing demonically, telling a scary story, frightening the innocent, preying on the innocent		
stabbing	pose	attacking with a knife, stabbing wildly		
starving	pose	enforcing a strict diet, denying comfort, wasting food		
suspecting	pose	developing suspicions, detecting a rat, finding a rat, smelling a rat 		
targeting	pose	shooting an arrow, wielding a bow and arrow, aiming for the target		
threatening	pose	making threats, brandishing a knife, threatening violence		
unleashing	pose	unleashing a wild dog, letting slip the dogs of war		
withholding	pose	refusing payment, refusing to pay up, witholding payment		
holding nose	pose	suffering from a head cold, blowing one's nose, covering one's nose, smelling a stink		
blocking	pose	expressing dissent, refusing to back down, blocking the way		
fainting	pose	fainting, falling into a coma, fainting with fear		
frowning	pose	frowning with disappointment, expressing disappointment, reacting to bad news		
put out	pose	making an offer, making a suggestion, cutting to the chase		
shielding behind umbrella	pose	shielding behind an umbrella, taking cover behind an umbrella		
covering eyes	pose	covering one's eyes, refusing to look, blocking out the sight		
punching	pose	throwing a punch, starting a fight		
plugging ears	pose	plugging one's ears, refusing to listen, blocking out the sound		
slinging mud	pose	throwing mud, hurling abuse, launching a smear campaign		
discarding book	pose	discarding a book, throwing the book away		
vomiting	pose	vomiting, getting sick, throwing up		
lunging	pose	lunging with a sword		
siccing	pose	leading the attack, siccing dogs, rabble rousing		
swallowing	pose	reacting with distaste, reacting with skepticism, swallowing a bitter pill		
betraying	pose	betraying a friend, being corrupted, going over to the dark side, conspiring with snakes		
sniping	pose	lining up the target, preparing to shoot, lining up a shot, brandishing a rifle		
judging	pose	delivering a judgment, delivering a verdict, rendering judgment		
scolding	pose	scolding a naughty child, wagging the finger		
smug	pose	being smug, reacting with pride, exuding arrogance		
deceptive	pose	telling a lie, plotting a deception, hatching a devious plan, running a confidence trick		
suspicious	pose	behaving suspiciously, launching a cover up, covering up a crime, hiding a skeleton in the closet		
silencing	pose	demanding silence, silencing a critic		
oppressing	pose	running a totalitarian regime, crushing dissent, crushing the enemy		
troublemaking	pose	causing trouble, making trouble, playing with fire, playing with matches, playing with dynamite 		
pouncing dog	prop			
baying hound	prop			
hunting dog	prop			
pack of hounds	prop			
killing	pose	going on a killing spree, mugging a tourist, demanding money with menaces, threatening violence, threatening murder		
mugging	pose	mugging a tourist, demanding money with menaces		
stealing	pose	stealing money, committing a robbery, running off with the loot		
terrorizing	pose	launching a campaign of terror, lighting the fuse, throwing a bomb, declaring war, starting a jihad		
whipping	pose	cracking the whip, wielding a whip, lashing out		
excommunicating	pose	banishing an infidel, preaching to a sinner		
exorcising	pose	exorcising a demon, banishing a demon		
taunting	pose	being rude, being vulgar, using vulgar language, taunting a rival		
spitting	pose	spitting with disgust, expressing disgust, spitting on the ground, spitting out something unpalatable, showing disdain by spitting, reacting with disdain		
haunting	pose	rising from the dead, haunting a graveyard		
avenging angel	pose	seeking vengeance, looking for revenge, demanding justice		
crucified	pose	nailed to a cross, dying for their beliefs		
blessing	pose	offering a blessing, saying a prayer, preaching the good word		
blessing with beard	pose			
praying	pose	saying a prayer, praying to the lord		
angelic	pose	being an angel, flying high, flying on angel's wings		
saintly	pose	wearing a halo, behaving like a saint, virtue signalling		
worshipped	pose	being worshipped like a god, standing on a pedestal, nurturing a god complex		
exorcised	pose	giving up the ghost, being scared shitless, being scared to death		
preachy	pose	delivering a sermon, preaching to a sinner, reciting the gospel		
sacrificing	pose	offering up a sacrifice, sacrificing a lamb, performing a blood sacrifice, slaughtering a lamb		
blaspheming	pose	uttering a blasphemy, blaspheming against God, boiling with rage, going into a berserker rage, being consumed with rage		
demonic	pose	spreading darkness, raising hell, worshipping the devil, going over to the dark side		
experimenting	pose	conducting an experiment, experimenting on humans, testing an experimental drug, drawing blood		
operating	pose	performing surgery, waving a scalpel		
stargazing	pose	gazing at the stars, looking through a telescope, watching the skies, scanning the night sky, looking for extraterrestrial life		
foreboding	pose	dreading the future, worrying about tomorrow, fearing the worst, preparing for rain, expecting a storm		
airport	setting	an airport		
art studio	setting	an art studio, an atelier, an artist's studio		
balcony	setting	a courtyard with a balcony		
bank exterior	setting	exterior view of a bank		
bank	setting	bank interior with cashier		
bar	setting	tavern or pub		
bedroom	setting	a bedroom, a boudoir, a dormitory		
battlefield	setting	a battle field, a war zone, a desolate wasteland, a ruined city		
blizzard	setting	a blizzard, a snow storm, arctic conditions		
boat dock	setting	a boat dock, a boat yard, a pier		
boneyard	setting	a desolate cave, a bone yard, a pirate cave, a dungeon		
boulevard	setting	a tree-lined boulevard		
building site	setting	a building site, a construction site		
campaign trail	setting	a lectern, a debate stage, a dias, a press conference		
cave rocks	setting	a rocky cave, a rocky landscape		
cave	setting	a dark cave, an underground cavern		
changing room	setting	a changing room		
church	setting	a church interior, a chapel, an altar		
city gates	setting	the city gates, castle gates, a portcullis		
courthouse	setting	the courthouse steps		
cliff edge	setting	the cliff edge, a rocky promontory		
courthouse exterior	setting	a courthouse, the supreme court, a court of law		
clouds	setting	a cloudy sky		
comedy club	setting	a comedy club		
courtyard	setting	a leafy courtyard		
dark city	setting	a dark city, a mysterious city, a city in the gloom		
dark forest	setting	a dark forest, a creepy forest		
dawn of man	setting	a barren landscape		
debate stage	setting	a debate stage		
distant volcano	setting	a distant volcano, an erupting volcano, a shower of lava and smoke		
desert	setting	the desert sun, a parched desert		
drawbridge	setting	a castle drawbridge		
drawing board	setting	an office with a drawing board		
dungeon	setting	a bleak dungeon		
embankment	setting	a steep rocky embankment		
farm	setting	a wind farm, a field of wind turbines, green energy		
factory	setting	a factory, an assembly floor		
foothills	setting	the base of a mountain, rocky foothills		
forest path	setting	a path through the forest		
forest trail	setting	a forest trail, a path to a dark forest		
forked path	setting	a fork in the path		
forest	setting	a mountain surrounded by trees		
forge	setting	a blacksmith's forge		
gravel path	setting	a gravel path, a stony path, crazy paving		
government	setting	government buildings, the congress, a parliament		
gates of hell	setting	the gates of hell, Hades, eternal damnation		
frozen in ice	setting	a block of ice, an ice house		
graveyard	setting	a graveyard, a cemetary, tombstones		
graveyard with walls	setting	a walled graveyard, a secluded graveyard		
guillotine	setting	the guillotine, the French revolution		
haunted house	setting	a haunted house		
gym	setting	a gym, a gymasium, a workout room		
hospital	setting	hospital interior, a hospital ward		
hospital exterior	setting	hospital exterior		
high windows exterior	setting	exterior wall with windows		
high windows interior	setting	interior wall with windows		
hotel	setting	a hotel, a five-star hotel		
interview room	setting	an interview room, a meeting room		
lava	setting	fire and brimstone, an erupting volcano, the end of the world, chaos		
iron throne	setting	the iron throne, the throne room		
kitchen	setting	a kitchen, a kitchen counter		
laboratory	setting	a laboratory, a secret laboratory		
laundrette	setting	a laundrette		
library	setting	a library		
lighthouse	setting	a  lighthouse, a lighthouse surrounded by high waves		
lightning	setting	a lightning storm		
low trench	setting	a trench in a muddy field		
luggage belt	setting	an airport luggage belt		
marshlands with bodies	setting	a bog filled with dead bodies, a battlefield strewn with corpses		
marshlands	setting	a marshland, a quagmire		
mordor	setting	bleakest Mordor, the eye of Sauron		
mountain pass	setting	a mountain pass, a mountain road		
airplane interior	setting	an airplane interior		
apocalypse	setting	the end of the world, a post-apocalyptic landscape		
mountain trail	setting	a mountain trail, a rocky trail		
mountain trees	setting	trees on the mountain		
mountain view	setting	a snow-capped mountain		
mud and rats	setting	a muddy bog, a muddy wasteland		
muddy rubbish dump	setting	a muddy rubbish dump, a rubbish dump, an open sewer		
nightsky	setting	the sky at night, a moonlit landscape		
north by northwest	setting	Mount Rushmore		
ocean	setting	a tsunami, an ocean wave		
office 2	setting	an office with water cooler and filing cabinet		
office	setting	an office with water cooler		
open city gates	setting	the open gates of an ancient city		
park bench	setting	a park bench on a sunny day		
park night	setting	the park on a moonlit night		
police lineup	setting	a police lineup		
police state	setting	a totalitarian regime, a fascist regime		
police station	setting	a police station exterior		
polling station	setting	a polling station, a polling booth		
prison	setting	a prison topped with barbed wire		
rain and clouds	setting	a cloudy and rainy day		
rain	setting	a rainy day		
rainbow	setting	a rainbow in the park		
restaurant exterior	setting	a restaurant patio		
rainy forest	setting	a forest on a rainy day		
restaurant	setting	a restaurant and bar		
river of blood	setting	a river of blood		
rocks and sky	setting	rocks against  blue sky		
rocky path	setting	a rock-strewn path		
rubbish dump	setting	a rubbish dump with crows and vermin		
salon	setting	a hair salon, a beauty parlour		
sports field	setting	a sports field		
stage curtains	setting	a theatre stage		
stalactite	setting	a dark cave with stalactites		
statue	setting	a statue in the park, pigeons crapping on a statue in the park		
stone stairs	setting	stone stairs leading down to a dungeon		
sun and clouds	setting	the sun peeking through the clouds 		
swamp gas	setting	a dark and dank swamp		
swamp hollow	setting	a swamp hollow		
swamp	setting	a swamp with aligators		
toilet	setting	a public restroom		
tornado	setting	a tornado causing havoc		
tower base	setting	the base of a tower		
tower in distance	setting	a landscape with a mysterious tower in the distance		
tower in swamp	setting	a tower in a dank swamp		
tower tops	setting	the cloud-shrouded spires of a city of towers		
tower	setting	a red tower against a blue sky		
trees	setting	a forest of densely-packed trees		
trench	setting	a deep trench in a muddy field		
university	setting	a university campus, a red-brick university, a leafy university campus		
valley	setting	a leafy valley in autumn		
volcano	setting	an erupting volcano spewing lava and hot gas		
wall daylight	setting	an exterior wall in daylight		
wall night	setting	an exterior wall at night		
welcome mat	setting	a suburban front door with welcome mat		
window cityview	setting	a living room window		
window interior	setting	a living room		
winners podium	setting	the winner's podium, the winner's circle		
winter	setting	snow-covered trees in winter		
war of the worlds	setting	an alien invasion, a nighttime invasion by aliens		
open road	setting	the open road		
superstore	setting	a superstore, a supermarket		
moonscape	setting	the surface of the moon, a lunar landscape, a lunar landscape pocked with craters		
earthrise	setting	the Earth rising above a rocky lunar landscape		
another world	setting	an alien world, nightfall on an alien world		
garden party	setting	a garden party, a summer party in the garden		
outdoors night	setting	a dark cityscape at night		
attic	setting	a dark and dusty attic		
extinction	setting	meteors falling on a landscape of dinosaurs, the age of the dinosaur		
beach party	setting	a party on the beach, the restaurant at the end of the world		
shanghai	setting	Shanghai, the Pearl tower		
australia	setting	Ayers rock, the Australian outback		
sydney	setting	Sydney opera house		
frankfurt	setting	Frankfurt town centre, a European town centre		
wellington	setting	Wellington New Zealand		
new zealand	setting	a glacier surrounded by grassy mountain tops		
spain	setting	a Spanish hacienda		
korea	setting	A Korean temple		
lisbon	setting	A tram on a Lisbon street		
mumbai	setting	Bombay harbour		
delhi	setting	A red fort in New Delhi		
taj mahal	setting	the Taj Mahal		
naples	setting	A side street in Naples, an alley way		
rome	setting	the colosseum, the Roman colosseum		
montreal	setting	a Montreal street		
canada	setting	the Canadian wilderness, snow-capped mountains and a crystal lake		
hollywood	setting	the Hollywood hills		
beijing	setting	the great wall of China		
gobi desert	setting	the Gobi desert, a sun-baked desert		
parthenon	setting	the Parthenon in Athens, ancient democracy, Ancient Greece, the Ancient world		
south pole	setting	the South Pole, penguins on melting ice floes, melting icebergs		
north pole	setting	the North Polem snow falling in the North Pole, snow falling on an ice field		
northern lights	setting	the Northern Lights		
london	setting	London Bridge		
ireland	setting	a castle on a hill in Ireland, a field of sheep in Ireland, a field of sheep and a ruined castle, a ruined monastery		
tokyo	setting	Tokyo bay and Mount Fuji		
rio	setting	Rio de Janeiro		
table mountain	setting	Table mountain in South Africa		
brandenburg gate	setting	the Brandenburg gate, checkpoint Charlie		
new york	setting	the Brooklyn bridge, New York city		
manhattan	setting	the Manhattan skyline		
california	setting	a beach in California		
florida	setting	a beach in Florida, the Florida keys, a sunny beach with palm trees		
texas	setting	an arid field with cactuses, rural Texas		
vienna	setting	a cathedral in Vienna, a cathedral		
red square	setting	Red Square in Moscow, the Kremlin		
pisa	setting	the leaning tower of Pisa		
paris	setting	the Eiffel tower, a view of Paris, a romantic view of Paris		
hawaii	setting	a beach in Hawaii		
dublin	setting	an iron gate in Dublin, the Guinness brewery		
seattle	setting	the Seattle skyline		
united nations	setting	the United Nations, the United Nations building in New York		
africa	setting	the savannah in Africa, an African landscape		
israel	setting	the temple on the mount, Jerusalem, Israel		
amazon	setting	an Amazon fulfillment centre, a warehouse		
crypto	setting	cyberspace, a bank vault		
scotland	setting	a castle in Scotland, a castle on a hill		
indonesia	setting	a Khmer temple in Indonesia, Angor Wat, a temple in Cambodia, a temple in Thailand		
mexico	setting	a Mayan pyramid, a Mexican pyramid, ancient Mexico, a Mayan temple		
wales	setting	a grassy landscape, a field in Wales		
argentina	setting	the pampas in Argentina, a grassy field of sheep and cows		
jamaica	setting	a beach in Jamaica		
vietnam	setting	a bay in Viet Nam, the South China sea		
switzerland	setting	ski chalets in Switzerland		
wallstreet	setting	Wall Street, the business district		
islam	setting	a Muslim temple, Islamic architecture		
sweden	setting	old world charm, old European houses		
pakistan	setting	a Muslim temple, Islamic architecture		
netherlands	setting	windmills on the canal, the Dutch countryside		
scotus	setting	the Supreme court		
europe	setting	European tourism, European architecture		
server farm	setting	a server farm, a room full of computers		
newsroom	setting	a television newsroom, a TV station		
singapore	setting	modern architecture, the Singapore skyline		
shop window	setting	a shop window, a clothes shop		
arizona	setting	a barren landscape, a barren landscape in Arizona, the wild west		
syria	setting	a ruined building in a war zone		
chemical plant	setting	a chemical plant, chimneys belching smoke into the air, factory chimneys		
favela	setting	a favela in Brazil, a slum		
petronas	setting	the Petronas towers		
thailand	setting	a beach in Thailand, a beach in Asia		
suburbs	setting	a quiet suburban street		
slum	setting	a slum, a ghetto		
egypt	setting	the pyramids of Giza, pyramids in the desert		
iceland	setting	a town in iceland, a town and a glacier		
waterfall	setting	a waterfall		
dam	setting	a dam		
brussels	setting	the Atomium in Brussels, modern art		
vatican	setting	the Vatican, the Vatican in Rome		
maralago	setting	Mar-a-Lago, a golf club in Florida		
deathstar interior	setting	inside the Deathstar		
cdc	setting	the CDC building in Atlanta		
colombia	setting	a Spanish hacienda, a Spanish-style monastery		
philadelphia	setting	Philadelphia, the city of brotherly love		
philippines	setting	a shanty town, a shack in the Philippines		
taiwan	setting	a skyscraper towering over a city, a skyscraper in Taiwan 		
libya	setting	a ruined building in a war zone, a ruined building in Libya		
cuba	setting	a street in Havana		
bosnia	setting	a bridge in Bosnia, an ancient bridge		
rwanda	setting	dense grassland in Africa, grasslands in Rwanda		
ukraine	setting	a battlefield in Ukraine		
lebanon	setting	a scene of devastation, downtown Lebanon		
haiti	setting	a shanty town, a shack in Haiti		
poland	setting	a Polish village,a traditional village,a Potemkin village		
mongolia	setting	camels in the desert, outer Mongolia		
estonia	setting	an traditional European village, a traditional European town, an Estonian town		
car factory	setting	a car factory, a Tesla factory		
train station	setting	a train station, a train at a plaform		
secret bunker	setting	a secret underground bunker, a secret lair		
statue of liberty	setting	the Statue of Liberty, the New York skyline, a symbol of democracy		
barcelona	setting	Barcelona, Gaudi's cathedral		
oil well	setting	an oil well, an oil well gushing oil		
coal mine	setting	a coal mine		
launchpad	setting	a rocket blasting off, a shuttle on the launchpad, a launchpad at Cape Canaveral		
nuclear plant	setting	a nuclear power plant, a power plant, a power plant belching smoke into the sky, Chernobyl		
city of towers	setting	an ancient city of gleaming towers		
new orleans	setting	the French Quarter in New Orleans		
chicago	setting	Chicago		
idaho	setting	Idaho, a farm in Idaho		
ohio	setting	the Ohio skyline		
alaska	setting	snow-capped mountains reflected in crystal-clear waters		
michigan	setting	downtown Michigan, a small town		
colorado	setting	a snowy town in colorado		
wisconsin	setting	a leaf-strewn rod in Wisconsin		
iowa	setting	a rural farm in Iowa, a remote farm		
buffalo	setting	a government building, a civic administration building		
georgia	setting	a gothic mansion, a mansion in a swamp		
utah	setting	a rocky outcrop, a rock formation in Utah		
nebraska	setting	a herd of cattle on the trail		
kansas	setting	a rural farm in Kansas, a farm with a white picket fence		
oklahoma	setting	a windmill in Oklahoma, a remote farm in Oklahoma		
las vegas	setting	the Las Vegas strip, a casino town, sin city		
maine	setting	a lighthouse in Maine, a lighthouse on a rocky outcrop		
baltimore	setting	a row of period houses		
providence	setting	an empty street downtown, a quiet downtown area		
fresno	setting	downtown at twilight		
connecticut	setting	a leafy suburb		
