Description, Type, Value
 showing support, pose, supporting, 
 giving moral support, pose, supporting, 
 being a loyal friend, pose, supporting, 
showing sympathy, pose, sympathetic, 
 being sympathetic, pose, sympathetic, 
 offering a shoulder to cry on, pose, sympathetic, 
wooing, pose, wooing, 
 offering one's heart, pose, wooing, 
 being romantic, pose, wooing, 
 proposing marriage, pose, wooing, 
carrying the flag, pose, patriotic, 
 defending freedom, pose, patriotic, 
 being a patriot, pose, patriotic, 
 fighting for democracy, pose, patriotic, 
signing a contract, pose, signing, 
 signing a petition, pose, signing, 
 holding a pen, pose, signing, 
having a snack, pose, munching, 
 snacking, pose, munching, 
 eating cornflakes, pose, munching, 
 eating breakfast, pose, munching, 
 eating breakfast cereal , pose, munching, 
goading a bull, pose, goading, 
 waving a red rag, pose, goading, 
leaping in the air, pose, leaping, 
 high jumping, pose, leaping, 
 jumping in the air, pose, leaping, 
 reaching for the sky, pose, leaping, 
giving a tip, pose, tipping, 
 being a good tipper, pose, tipping, 
 offering a tip, pose, tipping, 
 being generous, pose, tipping, 
interviewing a celebrity, pose, interviewing, 
 holding a microphone, pose, interviewing, 
 reporting live from the scene, pose, interviewing, 
 breaking a story, pose, interviewing, 
having breakfast, pose, breakfasting, 
 eating breakfast, pose, breakfasting, 
 eating breakfast cereal, pose, breakfasting, 
making an offering, pose, offering, 
 performing a religious rite, pose, offering, 
 performing a ritual, pose, offering, 
 praying at an altar, pose, offering, 
being hero, pose, heroic, 
 being a hero, pose, heroic, 
 fighting heroically, pose, heroic, 
 standing up for justice, pose, heroic, 
 fighting for justice, pose, heroic, 
 wearing a cape, pose, heroic, 
rescuing a damsel, pose, rescuing, 
 saving the day, pose, rescuing, 
 swooping in to save the day, pose, rescuing, 
 riding a white steed, pose, rescuing, 
treating an ailment, pose, treating, 
 offering treatment, pose, treating, 
 diagnosing an ailment, pose, treating, 
 filling a prescription, pose, treating, 
 offering medicine, pose, treating, 
dedicating oneself to a cause, pose, knightly, 
 going down on bended knee, pose, knightly, 
pointing the way, pose, ushering, 
 waving an umbrella, pose, ushering, 
 pointing with an umbrella, pose, ushering, 
being imperious, pose, imperious, 
 issuing edicts, pose, imperious, 
 giving orders, pose, imperious, 
 being bossy, pose, imperious, 
 being a royal pain, pose, imperious, 
pointing at the sky, pose, pointing, 
 looking up at the sky, pose, pointing, 
 pointing upwards, pose, pointing, 
pointing with an umbrella, pose, pointing with umbrella, 
 waving an umbrella, pose, pointing with umbrella, 
 pointing upwards, pose, pointing with umbrella, 
leading a flock, pose, droving, 
 being a shepherd, pose, droving, 
 protecting the flock, pose, droving, 
 herding sheep, pose, droving, 
standing on a soapbox, pose, on soapbox, 
 giving a speech, pose, on soapbox, 
 giving a lecture, pose, on soapbox, 
 lecturing to others, pose, on soapbox, 
 preaching to others, pose, on soapbox, 
 speaking in public, pose, on soapbox, 
negotiating for another, pose, negotiating for, 
demanding payment, pose, owed, 
 seeking payment, pose, owed, 
 calling in a loan, pose, owed, 
going into debt, pose, owing, 
 going bankrupt, pose, owing, 
 sinking into debt, pose, owing, 
paying a debt, pose, paying, 
 making a payment, pose, paying, 
 depositing cash, pose, paying, 
 making a deposit, pose, paying, 
renting an apartment, pose, renting, 
 getting the keys, pose, renting, 
 holding keys, pose, renting, 
hoarding gold, pose, hoarding, 
 being a hoarder, pose, hoarding, 
 being a miser, pose, hoarding, 
 hiding wealth, pose, hoarding, 
negotiating a deal, pose, negotiating, 
 closing a deal, pose, negotiating, 
 negotiating terms, pose, negotiating, 
selling a product, pose, selling, 
 making a sales pitch, pose, selling, 
profiting from a deal, pose, profiting, 
 making a profit, pose, profiting, 
 earning a windfall, pose, profiting, 
 making money, pose, profiting, 
offering a reward, pose, rewarding, 
 giving a reward, pose, rewarding, 
 rewarding loyalty, pose, rewarding, 
peering into the abyss, pose, blackbag, 
 holding a black bag, pose, blackbag, 
 , pose, blackbag, 
blackmailing a mark, pose, blackmailing, 
 engaging in blackmail, pose, blackmailing, 
 extorting a bribe, pose, blackmailing, 
being a bad influence, pose, corrupting, 
 offering a bribe, pose, corrupting, 
 corrupting morals, pose, corrupting, 
 engaging in corruption, pose, corrupting, 
being devious, pose, devious, 
 thinking wicked thoughts, pose, devious, 
 plotting a wicked scheme, pose, devious, 
 hatching a cunning plan, pose, devious, 
luring innocents, pose, luring, 
 baiting a trap, pose, luring, 
 leading others astray, pose, luring, 
being  mischievous, pose, mischievous, 
 pulling a prank, pose, mischievous, 
 being a brat, pose, mischievous, 
 causing trouble, pose, mischievous, 
 being irresponsible, pose, mischievous, 
leading others astray, pose, misleading, 
 being misleading, pose, misleading, 
 engaging in misdirection, pose, misleading, 
being a phony, pose, misrepresenting, 
 acting in bad faith, pose, misrepresenting, 
 being two-faced, pose, misrepresenting, 
 being a hypocrite, pose, misrepresenting, 
 engaging in deception, pose, misrepresenting, 
kidnapping an innocent, pose, snatching, 
 engaging in dirty tricks, pose, snatching, 
being sneaky, pose, sneaky, 
 hatching a plot, pose, sneaky, 
 hatching a conspiracy, pose, sneaky, 
following the trail, pose, tracking, 
 following a trail of bread crumbs, pose, tracking, 
charming a snake, pose, snake charming, 
 charming a rattlesnake, pose, snake charming, 
 selling snake oil, pose, snake charming, 
manipulating others, pose, manipulating, 
 being manipulative, pose, manipulating, 
 masterminding a conspiracy, pose, manipulating, 
spreading gossip, pose, gossiping about, 
 telling tales, pose, gossiping about, 
 telling tall tales, pose, gossiping about, 
spreading gossip, pose, gossipy, 
 telling tales, pose, gossipy, 
 telling tall tales, pose, gossipy, 
telling lies, pose, lying for, 
 spreading lies, pose, lying for, 
 spreading propaganda, pose, lying for, 
cheating at cards, pose, cheating, 
 playing cards, pose, cheating, 
 playing poker, pose, cheating, 
evaluating the situation, pose, evaluating, 
 holding a clipboard, pose, evaluating, 
 performing an analysis, pose, evaluating, 
 fllling out a questionnaire, pose, evaluating, 
being gagged, pose, gagged, 
 taking a vow of silence, pose, gagged, 
 remaining silent, pose, gagged, 
 refusing to speak, pose, gagged, 
 being muzzled, pose, gagged, 
taking a test, pose, learning, 
 sitting a test, pose, learning, 
 completing a lesson, pose, learning, 
being philosophical, pose, philosophical, 
 thinking deep thoughts, pose, philosophical, 
 thinking deeply, pose, philosophical, 
 pondering the big questions, pose, philosophical, 
seeking ancient wisdom, pose, philosophical with beard, 
reading a book, pose, reading, 
 reading a manual, pose, reading, 
 enjoying a good book, pose, reading, 
reading a comic, pose, reading comics, 
 reading a comic strip, pose, reading comics, 
 being a geek, pose, reading comics, 
being a geek, pose, geeky, 
 collecting comic books, pose, geeky, 
 playing with dolls, pose, geeky, 
shouting loudly, pose, shouting, 
 ranting in public, pose, shouting, 
 delivering a harangue, pose, shouting, 
 making an announcement, pose, shouting, 
speaking in public, pose, speaking, 
 holding a microphone, pose, speaking, 
 speaking into a microphone, pose, speaking, 
relaying a message, pose, speaking for, 
whispering in a low voice, pose, whispering, 
 sharing a secret, pose, whispering, 
 leaking an official secret, pose, whispering, 
 breaking a confidence, pose, whispering, 
thinking out loud, pose, thinking, 
 worrying about life, pose, thinking, 
 thinking hard, pose, thinking, 
seeking ancient wisdom, pose, thinking with beard, 
asking questions, pose, questioning, 
 posing a riddle, pose, questioning, 
 pondering the situation, pose, questioning, 
 plagued by doubt, pose, questioning, 
pointing the way, pose, indicating, 
 pointing the finger, pose, indicating, 
writing a chronicle, pose, chronicling, 
 writing on a scroll, pose, chronicling, 
 recording history, pose, chronicling, 
giving a lecture, pose, lecturing, 
 wagging the finger, pose, lecturing, 
 delivering a sermon, pose, lecturing, 
monitoring the situation, pose, monitoring, 
 looking through a spyglass, pose, monitoring, 
 using a telescope, pose, monitoring, 
 looking through a telescope, pose, monitoring, 
 looking on from afar, pose, monitoring, 
sharing a tweet, pose, tweeting, 
 using social media, pose, tweeting, 
 updating their status, pose, tweeting, 
interrogating a suspect, pose, interrogating, 
 getting answers, pose, interrogating, 
 cracking the whip, pose, interrogating, 
holding a magnifying glass, pose, examining, 
 examining the evidence, pose, examining, 
holding a magnifying glass, pose, probing, 
 examining the scene, pose, probing, 
telling the future, pose, foretelling, 
 forecasting the future, pose, foretelling, 
 using a crystal ball, pose, foretelling, 
having breakfast, pose, breakfasting flipped, 
 eating breakfast, pose, breakfasting flipped, 
 eating breakfast cereal, pose, breakfasting flipped, 
zero points, pose, zero, 
kneeling down, pose, kneeling, 
 bowing deeply, pose, kneeling, 
 begging foregiveness, pose, kneeling, 
running a campaign, pose, campaigning, 
 campaigning for change, pose, campaigning, 
 handing out leaflets, pose, campaigning, 
 distributing pamphlets, pose, campaigning, 
voting for a candidate, pose, voting for, 
 voting yes, pose, voting for, 
 casting a vote, pose, voting for, 
giving commands, pose, commanding, 
 commanding a junior officer, pose, commanding, 
 giving orders, pose, commanding, 
directing a movie, pose, directing, 
 shouting action, pose, directing, 
leading a flock, pose, leading, 
 herding sheep, pose, leading, 
 guiding the flock, pose, leading, 
guiding the flock, pose, leading with beard, 
 spreading the good word, pose, leading with beard, 
ruling with impunity, pose, ruling, 
 issuing edicts, pose, ruling, 
 issuing a royal decree, pose, ruling, 
brainwashing a subject, pose, brainwashing, 
 being a control freak, pose, brainwashing, 
 using mind control, pose, brainwashing, 
 running a cult, pose, brainwashing, 
conquering an enemy, pose, conquering, 
 vanquishing an opponent, pose, conquering, 
 declaring victory, pose, conquering, 
running a negative campaign, pose, campaigning against, 
 campaigning against the encumbent, pose, campaigning against, 
radicalizing a zealot, pose, radicalizing, 
 launching a religious crusade, pose, radicalizing, 
 declaring a fatwa, pose, radicalizing, 
casting a NO vote, pose, voting against, 
 voting against the proposition, pose, voting against, 
expressing worry, pose, worried, 
 worrying about a problem, pose, worried, 
 reacting nervously, pose, worried, 
committing suicide, pose, suicidal, 
 contemplating suicide, pose, suicidal, 
 succumbing to fatalism, pose, suicidal, 
going on a killing spree, pose, killing for, 
shhoting a gun, pose, shooting, 
 waving a gun, pose, shooting, 
 pointing a gun, pose, shooting, 
writing a letter, pose, writing, 
 using a tablet, pose, writing, 
making accusations, pose, accusing, 
 pointing the finger of blame, pose, accusing, 
 threatening legal consequences, pose, accusing, 
expressing anger, pose, angry, 
 reacting angrily, pose, angry, 
 angrily shaking a fist , pose, angry, 
arresting a suspect, pose, arresting, 
 putting someone under arrest, pose, arresting, 
launching an attack, pose, attacking, 
 attacking an enemy, pose, attacking, 
 brandishing a knife, pose, attacking, 
 stabbing wildly, pose, attacking, 
expelling a miscreant, pose, banishing, 
 saying good riddance, pose, banishing, 
baring one's teeth, pose, biting, 
 snarling menacingly, pose, biting, 
 going for the jugular, pose, biting, 
being a bully, pose, bullying, 
 charging like a bull, pose, bullying, 
 charging angrily, pose, bullying, 
breaking the chain, pose, casting off, 
 freeing oneself from bondage, pose, casting off, 
 casting off a heavy chain, pose, casting off, 
charging in, pose, charging, 
 charging angrily, pose, charging, 
 reacting angrily, pose, charging, 
giving the cold shoulder, pose, cold shoulder, 
 showing no interest, pose, cold shoulder, 
 being indifferent, pose, cold shoulder, 
 affecting disdain, pose, cold shoulder, 
being condescending, pose, condescending, 
 rolling one's eyes, pose, condescending, 
 adopting a patronizing attitude, pose, condescending, 
being critical, pose, critical, 
 expressing criticism, pose, critical, 
 giving the thumbs down, pose, critical, 
 expressing disapproval, pose, critical, 
being critical, pose, critical about, 
 expressing criticism, pose, critical about, 
 giving the thumbs down, pose, critical about, 
 expressing disapproval, pose, critical about, 
wielding a giant axe, pose, decapitating, 
 going in for the kill, pose, decapitating, 
 reacting violently, pose, decapitating, 
adopting a defensive attitude, pose, defensive, 
 being defensive, pose, defensive, 
 fearing the worst, pose, defensive, 
 reacting with shock, pose, defensive, 
 backing down, pose, defensive, 
expressing defiance, pose, defiant, 
 putting up resistence, pose, defiant, 
 refusing to back down, pose, defiant, 
 resisting defiantly, pose, defiant, 
 shaking their fists, pose, defiant, 
denouncing a rival, pose, denouncing, 
 burning with rage, pose, denouncing, 
 inflamed with anger, pose, denouncing, 
 declaring war, pose, denouncing, 
 pushing the hardline, pose, denouncing, 
being destructive, pose, destructive, 
 causing destruction, pose, destructive, 
 wielding a giant hammer, pose, destructive, 
 crushing the opposition, pose, destructive, 
 delivering an onslaught of violence, pose, destructive, 
openly disagreeing, pose, disagreeing, 
 expressing skepticism, pose, disagreeing, 
 holding out, pose, disagreeing, 
expressing disgust, pose, disgusted, 
 reacting with disgust, pose, disgusted, 
 refusing to agree, pose, disgusted, 
eluding capture, pose, eluding, 
 hiding out, pose, eluding, 
 keeping a low profile, pose, eluding, 
making a break for it, pose, escaping, 
 escaping from captivity, pose, escaping, 
 getting out of jail, pose, escaping, 
 breaking free, pose, escaping, 
putting up a fight, pose, fighting, 
 reacting with aggression, pose, fighting, 
 threatening violence, pose, fighting, 
winning the championship, pose, haughty, 
 declaring victory, pose, haughty, 
 crowing triumphantly, pose, haughty, 
hiding out, pose, hiding, 
 cowering in fear, pose, hiding, 
being a hindrance, pose, hindering, 
 saying no, pose, hindering, 
 refusing to join, pose, hindering, 
lashing out, pose, hitting, 
 throwing a punch, pose, hitting, 
 starting a fight, pose, hitting, 
lashing out, pose, slapping, 
 slapping down a rival, pose, slapping, 
staking a vampire, pose, staking, 
 slaying a demon, pose, staking, 
pointing the finger, pose, poking, 
 pointing the finger of blame, pose, poking, 
kicking like a mule, pose, kicking, 
 throwing a karate kick, pose, kicking, 
 doing kung fu, pose, kicking, 
hunting prey, pose, hunting, 
 leading a search party, pose, hunting, 
 leading a pack of dogs, pose, hunting, 
expressing indifference, pose, indifferent, 
 showing no interest, pose, indifferent, 
 showing a deaf ear, pose, indifferent, 
rushing in, pose, pushing, 
 pushing aggressively, pose, pushing, 
being a rebel, pose, rebellious, 
 launching a rebellion, pose, rebellious, 
 playing with fire, pose, rebellious, 
 playing with matches, pose, rebellious, 
rabble rousing, pose, rent an angry mob, 
 leading an angry mob, pose, rent an angry mob, 
running away, pose, running away, 
 fleeing the scene, pose, running away, 
 making a hasty retreat, pose, running away, 
beating a hasty retreat, pose, running off, 
 running off, pose, running off, 
poking fun, pose, satirizing, 
 telling a joke, pose, satirizing, 
 engaging in mockery, pose, satirizing, 
savaging a rival, pose, savaging, 
 attacking with knives, pose, savaging, 
 reacting fiercely, pose, savaging, 
laughing demonically, pose, scary, 
 telling a scary story, pose, scary, 
 frightening the innocent, pose, scary, 
 preying on the innocent, pose, scary, 
attacking with a knife, pose, stabbing, 
 stabbing wildly, pose, stabbing, 
enforcing a strict diet, pose, starving, 
 denying comfort, pose, starving, 
 wasting food, pose, starving, 
developing suspicions, pose, suspecting, 
 detecting a rat, pose, suspecting, 
 finding a rat, pose, suspecting, 
 smelling a rat , pose, suspecting, 
shooting an arrow, pose, targeting, 
 wielding a bow and arrow, pose, targeting, 
 aiming for the target, pose, targeting, 
making threats, pose, threatening, 
 brandishing a knife, pose, threatening, 
 threatening violence, pose, threatening, 
unleashing a wild dog, pose, unleashing, 
 letting slip the dogs of war, pose, unleashing, 
refusing payment, pose, withholding, 
 refusing to pay up, pose, withholding, 
 witholding payment, pose, withholding, 
suffering from a head cold, pose, holding nose, 
 blowing one's nose, pose, holding nose, 
 covering one's nose, pose, holding nose, 
 smelling a stink, pose, holding nose, 
expressing dissent, pose, blocking, 
 refusing to back down, pose, blocking, 
 blocking the way, pose, blocking, 
fainting, pose, fainting, 
 falling into a coma, pose, fainting, 
 fainting with fear, pose, fainting, 
frowning with disappointment, pose, frowning, 
 expressing disappointment, pose, frowning, 
 reacting to bad news, pose, frowning, 
making an offer, pose, put out, 
 making a suggestion, pose, put out, 
 cutting to the chase, pose, put out, 
shielding behind an umbrella, pose, shielding behind umbrella, 
 taking cover behind an umbrella, pose, shielding behind umbrella, 
covering one's eyes, pose, covering eyes, 
 refusing to look, pose, covering eyes, 
 blocking out the sight, pose, covering eyes, 
throwing a punch, pose, punching, 
 starting a fight, pose, punching, 
plugging one's ears, pose, plugging ears, 
 refusing to listen, pose, plugging ears, 
 blocking out the sound, pose, plugging ears, 
throwing mud, pose, slinging mud, 
 hurling abuse, pose, slinging mud, 
 launching a smear campaign, pose, slinging mud, 
discarding a book, pose, discarding book, 
 throwing the book away, pose, discarding book, 
vomiting, pose, vomiting, 
 getting sick, pose, vomiting, 
 throwing up, pose, vomiting, 
lunging with a sword, pose, lunging, 
leading the attack, pose, siccing, 
 siccing dogs, pose, siccing, 
 rabble rousing, pose, siccing, 
reacting with distaste, pose, swallowing, 
 reacting with skepticism, pose, swallowing, 
 swallowing a bitter pill, pose, swallowing, 
betraying a friend, pose, betraying, 
 being corrupted, pose, betraying, 
 going over to the dark side, pose, betraying, 
 conspiring with snakes, pose, betraying, 
lining up the target, pose, sniping, 
 preparing to shoot, pose, sniping, 
 lining up a shot, pose, sniping, 
 brandishing a rifle, pose, sniping, 
delivering a judgment, pose, judging, 
 delivering a verdict, pose, judging, 
 rendering judgment, pose, judging, 
scolding a naughty child, pose, scolding, 
 wagging the finger, pose, scolding, 
being smug, pose, smug, 
 reacting with pride, pose, smug, 
 exuding arrogance, pose, smug, 
telling a lie, pose, deceptive, 
 plotting a deception, pose, deceptive, 
 hatching a devious plan, pose, deceptive, 
 running a confidence trick, pose, deceptive, 
behaving suspiciously, pose, suspicious, 
 launching a cover up, pose, suspicious, 
 covering up a crime, pose, suspicious, 
 hiding a skeleton in the closet, pose, suspicious, 
demanding silence, pose, silencing, 
 silencing a critic, pose, silencing, 
running a totalitarian regime, pose, oppressing, 
 crushing dissent, pose, oppressing, 
 crushing the enemy, pose, oppressing, 
causing trouble, pose, troublemaking, 
 making trouble, pose, troublemaking, 
 playing with fire, pose, troublemaking, 
 playing with matches, pose, troublemaking, 
 playing with dynamite , pose, troublemaking, 
going on a killing spree, pose, killing, 
 mugging a tourist, pose, killing, 
 demanding money with menaces, pose, killing, 
 threatening violence, pose, killing, 
 threatening murder, pose, killing, 
mugging a tourist, pose, mugging, 
 demanding money with menaces, pose, mugging, 
stealing money, pose, stealing, 
 committing a robbery, pose, stealing, 
 running off with the loot, pose, stealing, 
launching a campaign of terror, pose, terrorizing, 
 lighting the fuse, pose, terrorizing, 
 throwing a bomb, pose, terrorizing, 
 declaring war, pose, terrorizing, 
 starting a jihad, pose, terrorizing, 
cracking the whip, pose, whipping, 
 wielding a whip, pose, whipping, 
 lashing out, pose, whipping, 
banishing an infidel, pose, excommunicating, 
 preaching to a sinner, pose, excommunicating, 
exorcising a demon, pose, exorcising, 
 banishing a demon, pose, exorcising, 
being rude, pose, taunting, 
 being vulgar, pose, taunting, 
 using vulgar language, pose, taunting, 
 taunting a rival, pose, taunting, 
spitting with disgust, pose, spitting, 
 expressing disgust, pose, spitting, 
 spitting on the ground, pose, spitting, 
 spitting out something unpalatable, pose, spitting, 
 showing disdain by spitting, pose, spitting, 
 reacting with disdain, pose, spitting, 
rising from the dead, pose, haunting, 
 haunting a graveyard, pose, haunting, 
seeking vengeance, pose, avenging angel, 
 looking for revenge, pose, avenging angel, 
 demanding justice, pose, avenging angel, 
nailed to a cross, pose, crucified, 
 dying for their beliefs, pose, crucified, 
offering a blessing, pose, blessing, 
 saying a prayer, pose, blessing, 
 preaching the good word, pose, blessing, 
saying a prayer, pose, praying, 
 praying to the lord, pose, praying, 
being an angel, pose, angelic, 
 flying high, pose, angelic, 
 flying on angel's wings, pose, angelic, 
wearing a halo, pose, saintly, 
 behaving like a saint, pose, saintly, 
 virtue signalling, pose, saintly, 
being worshipped like a god, pose, worshipped, 
 standing on a pedestal, pose, worshipped, 
 nurturing a god complex, pose, worshipped, 
giving up the ghost, pose, exorcised, 
 being scared shitless, pose, exorcised, 
 being scared to death, pose, exorcised, 
delivering a sermon, pose, preachy, 
 preaching to a sinner, pose, preachy, 
 reciting the gospel, pose, preachy, 
offering up a sacrifice, pose, sacrificing, 
 sacrificing a lamb, pose, sacrificing, 
 performing a blood sacrifice, pose, sacrificing, 
 slaughtering a lamb, pose, sacrificing, 
uttering a blasphemy, pose, blaspheming, 
 blaspheming against God, pose, blaspheming, 
 boiling with rage, pose, blaspheming, 
 going into a berserker rage, pose, blaspheming, 
 being consumed with rage, pose, blaspheming, 
spreading darkness, pose, demonic, 
 raising hell, pose, demonic, 
 worshipping the devil, pose, demonic, 
 going over to the dark side, pose, demonic, 
conducting an experiment, pose, experimenting, 
 experimenting on humans, pose, experimenting, 
 testing an experimental drug, pose, experimenting, 
 drawing blood, pose, experimenting, 
performing surgery, pose, operating, 
 waving a scalpel, pose, operating, 
gazing at the stars, pose, stargazing, 
 looking through a telescope, pose, stargazing, 
 watching the skies, pose, stargazing, 
 scanning the night sky, pose, stargazing, 
 looking for extraterrestrial life, pose, stargazing, 
dreading the future, pose, foreboding, 
 worrying about tomorrow, pose, foreboding, 
 fearing the worst, pose, foreboding, 
 preparing for rain, pose, foreboding, 
 expecting a storm, pose, foreboding, 
an airport, setting, airport, 
an art studio, setting, art studio, 
 an atelier, setting, art studio, 
 an artist's studio, setting, art studio, 
a courtyard with a balcony, setting, balcony, 
exterior view of a bank, setting, bank exterior, 
bank interior with cashier, setting, bank, 
tavern or pub, setting, bar, 
a bedroom, setting, bedroom, 
 a boudoir, setting, bedroom, 
 a dormitory, setting, bedroom, 
a battle field, setting, battlefield, 
 a war zone, setting, battlefield, 
 a desolate wasteland, setting, battlefield, 
 a ruined city, setting, battlefield, 
a blizzard, setting, blizzard, 
 a snow storm, setting, blizzard, 
 arctic conditions, setting, blizzard, 
a boat dock, setting, boat dock, 
 a boat yard, setting, boat dock, 
 a pier, setting, boat dock, 
a desolate cave, setting, boneyard, 
 a bone yard, setting, boneyard, 
 a pirate cave, setting, boneyard, 
 a dungeon, setting, boneyard, 
a tree-lined boulevard, setting, boulevard, 
a building site, setting, building site, 
 a construction site, setting, building site, 
a lectern, setting, campaign trail, 
 a debate stage, setting, campaign trail, 
 a dias, setting, campaign trail, 
 a press conference, setting, campaign trail, 
a rocky cave, setting, cave rocks, 
 a rocky landscape, setting, cave rocks, 
a dark cave, setting, cave, 
 an underground cavern, setting, cave, 
a changing room, setting, changing room, 
a church interior, setting, church, 
 a chapel, setting, church, 
 an altar, setting, church, 
the city gates, setting, city gates, 
 castle gates, setting, city gates, 
 a portcullis, setting, city gates, 
the courthouse steps, setting, courthouse, 
the cliff edge, setting, cliff edge, 
 a rocky promontory, setting, cliff edge, 
a courthouse, setting, courthouse exterior, 
 the supreme court, setting, courthouse exterior, 
 a court of law, setting, courthouse exterior, 
a cloudy sky, setting, clouds, 
a comedy club, setting, comedy club, 
a leafy courtyard, setting, courtyard, 
a dark city, setting, dark city, 
 a mysterious city, setting, dark city, 
 a city in the gloom, setting, dark city, 
a dark forest, setting, dark forest, 
 a creepy forest, setting, dark forest, 
a barren landscape, setting, dawn of man, 
a debate stage, setting, debate stage, 
a distant volcano, setting, distant volcano, 
 an erupting volcano, setting, distant volcano, 
 a shower of lava and smoke, setting, distant volcano, 
the desert sun, setting, desert, 
 a parched desert, setting, desert, 
